id,uid,startTime,endTime,expQ1,expQ2,expQ3,expQ4,expQ5,expQ6,expQ7,expQ8,expQ8a,regQ1,regQ2,regQ3,regQ4,regQ5,regQ6,regQ7,regQ8,regQ9,regQ10,regQ11,regQ12,regQ13,regQ14,regQ15,regQ16,regQ17,regQ18,regQ19,drinkingQ1,drinkingQ2,drinkingQ3,drinkingQ3a,drinkingQ3b,drinkingQ4,drinkingQ4a,drinkingQ5,drinkingQ6,drinkingQ7,drinkingQ8,drinkingQ9,drinkingQ9a,emaMotivesQ1,emaMotivesQ2,emaMotivesQ3,emaMotivesQ4,emaMotivesQ5,emaMotivesQ6,emaMotivesQ7,emaMotivesQ8,emaMotivesQ9,emaMotivesQ10,emaMotivesQ11,emaMotivesQ12
f5541c2c-4c1d-4120-a217-e2006003a409,iwsNA7nDMh,2022-03-09 11:07:17,2022-03-09 11:12:19,b,0,1,3,6,0,4:30,No,5:0,2,1,3,4,2,2,2,2,4,2,4,2,4,1,5,4,1,1,2,1,1,No,,,No,,No,4,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
82651ddd-db10-460c-9a97-c5fc60556017,iwsNA7nDMh,2022-03-09 23:36:37,2022-03-09 23:38:49,b,0,0,3,4,10,23:37,No,23:37,5,5,4,1,5,5,5,1,2,4,1,5,5,1,1,1,5,3,5,1,1,No,,,No,,No,2,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
5bbf5c1e-aadb-4912-9963-f70dc8c267da,iwsNA7nDMh,2022-03-12 14:30:46,2022-03-12 14:33:35,a,2,6,5,1,3,14:20,Yes,,3,3,2,4,3,4,4,5,4,4,4,2,2,1,2,3,2,4,4,1,1,No,,,No,,No,5,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
a6def6e3-6a98-48c4-864f-534b46b62d75,iwsNA7nDMh,2022-03-15 00:25:09,2022-03-15 00:27:24,a,3,1,3,1;7,1,0:15,Yes,,1,2,3,4,4,1,4,4,2,1,4,2,2,5,4,4,4,5,2,4,5,Yes,22:30,3,Yes,Yes,Yes,2,1,1,No,,4,4,2,1,3,4,3,4,1,5,2,2
60d2dffd-1330-42a6-8369-2cc8cacab38a,iwsNA7nDMh,2022-03-17 23:10:34,2022-03-17 23:11:53,b,0,8,3,1,0,23:0,Yes,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,,No,,No,1,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
0852d281-04f3-4c5f-a683-7a07e0dd5306,iwsNA7nDMh,2022-03-09 01:37:54,2022-03-09 01:42:29,a,1,7,5,7,7,1:30,Yes,,2,1,4,3,2,4,4,2,5,2,2,2,1,1,4,3,2,2,2,5,8,Yes,23:45,1,Yes,Yes,Yes,4,1,1,No,,4,4,4,5,5,4,5,4,4,4,4,5
a0d566b3-3c5a-4980-892c-3dd5d0996eea,iwsNA7nDMh,2022-03-16 13:45:53,2022-03-16 13:47:12,a,6,2,1,5,2,12:51,Yes,,1,2,4,5,2,2,2,3,2,1,4,2,1,4,5,2,3,1,1,1,1,No,,,No,,No,4,1,1,No,,1,2,1,1,1,1,1,1,1,5,3,4
f396deda-a0af-436f-81b9-47d4deed936c,nnziInMDTH,2022-03-12 13:09:38,2022-03-12 13:11:10,b,0,0,1,7,9,12:10,No,13:15,4,2,4,2,4,2,2,3,3,2,3,2,3,3,2,3,2,3,3,1,1,No,,,No,,No,2,2,2,No,,2,2,1,1,2,1,1,2,2,1,2,2
3a9d2742-f236-436d-b8e0-8989f07e24a0,iwsNA7nDMh,2022-03-14 13:44:40,2022-03-14 13:46:30,a,7,2,1,5;6,4,13:20,Yes,,2,1,5,4,2,2,3,4,2,2,4,2,1,1,1,3,3,2,1,1,1,No,,,No,,Yes,4,1,1,No,,1,1,1,1,1,1,2,1,3,2,1,4
54a95c22-b795-481a-815f-a5e7be88296e,iwsNA7nDMh,2022-03-10 17:17:34,2022-03-10 17:20:09,a,7,3,4,4,3,14:30,Yes,,2,4,4,2,4,4,2,2,3,2,4,2,2,1,3,4,4,4,2,9,7,No,,,No,,No,4,1,1,No,,2,1,1,1,1,1,2,2,1,4,4,5
920d6983-a4c2-41d2-aa9c-4318e4c41a19,iwsNA7nDMh,2022-03-12 23:55:51,2022-03-12 23:57:50,a,0,10,3,1,9,23:50,Yes,,5,5,1,1,5,5,5,1,2,4,1,4,4,2,2,4,4,4,5,1,1,No,,,No,,Yes,1,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
f3fe823f-1bda-4af0-8cb5-58309a51d6cf,iwsNA7nDMh,2022-03-12 20:04:42,2022-03-12 20:06:32,a,0,9,4,6,8,20:0,Yes,,4,5,5,1,5,5,5,5,5,5,1,5,1,4,1,4,5,5,5,1,1,No,,,No,,Yes,2,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
74e3696a-c841-4a5a-a176-3a5428e281e5,iwsNA7nDMh,2022-03-15 21:02:01,2022-03-15 21:04:40,a,2,0,4,4;6,2,20:50,Yes,,1,2,4,2,4,2,4,2,4,4,4,2,1,1,5,4,1,2,1,1,1,No,,,No,,No,4,1,1,No,,2,1,1,1,1,1,1,2,1,4,4,4
6013fadd-00bd-4969-948e-d057ec8869be,nnziInMDTH,2022-03-13 19:08:20,2022-03-13 19:10:17,b,5,3,4;5,1,6,19:8,Yes,,4,3,2,3,4,3,4,3,4,4,3,4,4,3,3,3,4,3,3,4,4,Yes,17:42,3,Yes,Yes,Yes,5,8,6,No,,4,3,4,3,3,3,3,4,3,2,3,4
cf8ba333-8878-48d1-a3b0-f17ff5b3368e,iwsNA7nDMh,2022-03-10 15:23:53,2022-03-10 15:26:17,a,6,2,4,4,8,14:10,Yes,,1,2,4,4,4,4,4,2,4,2,4,2,1,5,4,4,2,3,2,3,2,No,,,No,,Yes,4,1,1,No,,1,1,1,1,1,1,1,1,1,2,2,4
382fcbf4-0687-4900-b6fe-6537494cbdee,nnziInMDTH,2022-03-13 12:58:36,2022-03-13 12:59:47,b,0,10,1,7,10,12:58,Yes,,4,4,3,3,4,3,2,3,3,3,3,2,3,3,3,2,3,3,3,2,3,No,,,No,,No,4,4,4,No,,3,3,3,3,2,4,4,3,3,2,3,4
c17fada6-3d8f-4ad5-ae53-f1cb407dca96,iwsNA7nDMh,2022-03-09 14:39:57,2022-03-09 14:42:29,b,0,0,1,5,9,14:40,No,14:40,5,5,5,2,5,5,5,1,1,5,1,5,4,1,1,2,5,2,4,1,1,No,,,No,,No,4,1,1,No,,2,2,4,4,4,4,3,2,2,4,3,2
85ec44c8-51d6-478d-b870-5563f902402c,iwsNA7nDMh,2022-03-13 13:43:27,2022-03-13 13:48:18,a,3,5,4,4,2,13:30,Yes,,1,2,5,5,2,2,3,4,3,3,4,2,4,4,3,4,4,4,2,1,1,No,,,No,,No,4,1,1,No,,2,3,1,2,2,2,2,2,2,2,2,3
398ecce7-1443-4339-bd4e-b2102431955b,nnziInMDTH,2022-03-13 16:05:54,2022-03-13 16:07:46,a,2,2,4,1,8,16:2,Yes,,4,2,3,4,3,3,3,3,4,3,4,4,3,2,3,4,4,3,4,7,7,Yes,15:55,2,Yes,Yes,Yes,5,8,6,No,,3,3,4,3,4,4,4,4,3,2,3,3
64922ef0-58ed-4e75-8042-b2a22902e1de,nnziInMDTH,2022-03-12 20:22:10,2022-03-12 20:28:26,b,0,8,1,6,10,20:21,Yes,,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,3,2,3,3,8,7,No,,,No,,No,3,3,5,No,,2,2,3,2,3,3,4,2,2,2,3,3
